id,date,url,text,views,reactions,sentiment,sentiment_score,platform,content_type,source_id,source_name,source_url,source_audience,source_country,source_verified,source_state_affiliation_type,source_state_affiliation_country,source_state_affiliation_proof_link,source_state_affiliation_proof_name_uk,source_state_affiliation_proof_name_en,source_compromised_type,source_compromised_proof_link,source_compromised_proof_name_uk,source_compromised_proof_name_en,source_inauthentic_type,actor_id,actor_name,actor_url,actor_audience,actor_country,actor_verified,actor_state_affiliation_type,actor_state_affiliation_country,actor_state_affiliation_proof_link,actor_state_affiliation_proof_name_uk,actor_state_affiliation_proof_name_en,actor_compromised_type,actor_compromised_proof_link,actor_compromised_proof_name_uk,actor_compromised_proof_name_en,actor_inauthentic_type,origin_actor_id,origin_actor_name,origin_actor_url,origin_actor_audience,origin_actor_country,origin_actor_verified,origin_actor_state_affiliation_type,origin_actor_state_affiliation_country,origin_actor_state_affiliation_proof_link,origin_actor_state_affiliation_proof_name_uk,origin_actor_state_affiliation_proof_name_en,origin_actor_compromised_type,origin_actor_compromised_proof_link,origin_actor_compromised_proof_name_uk,origin_actor_compromised_proof_name_en,origin_actor_inauthentic_type
11842937433,2025-11-18T08:22:52+00:00,https://newskursk.ru/fn_1755622.html,"К утру 18 ноября появились новые подробности формирования буферной зоны в Харьковской и Сумской областях Украины, в том числе на подступах к российской госгранице в районе Курской области.

Российская авиация усилила удары по ВСУ на всем Сумском фронте. Штурмовики Северян продвинулись на трех направлениях вглубь региона.

Командование 71 оебр начало комплектовать свои отряды на передовой военнослужащими-женщинами. Среди них имеются первые потери. На Теткинском и Глушковском направлениях кардинальных перемен не зафиксировано.",0,0,NEUTRAL,-0.031222805380821228,WEB,ARTICLE,471414365,newskursk.ru,https://newskursk.ru,5075,,,,,,,,,,,,,471414365,newskursk.ru,https://newskursk.ru,5075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11842746430,2025-11-18T07:51:24+00:00,https://t.me/kovpakchat1/1632207,"РИА Новости: Командование 71-й егерской бригады ВСУ на Сумском направлении начало отправлять женщин в штурмовые отряды — среди них уже появились первые потери. 

☝️С почином! Кто-то должен идти в штуромивики. Мужья, братья, сыновья кончились, а наёмники в штуромики не хотят 🤷

📢 Жинки, не посрамите напудренные ноздри Батькивщину! Умрите гидно!

✅ Поддержать партизан и подпольщиков Отряда Ковпака

#злыерусские 

@otryadkovpaka

💙Отряд Ковпака в ВК
🌐 Отряд Ковпака в ОК 
💬Отряд Ковпака в Телеграме",2506,128,NEUTRAL,-0.14716540277004242,TELEGRAM,MESSAGE,127444866,Отряд Ковпака Chat,https://t.me/kovpakchat1,1252,Russia,False,,,,,,,,,,,38670,Отряд Ковпака,https://t.me/otryadkovpaka,148401,Russia,False,REPORTEDLY_STATE_AFFILIATED,Russia,https://detector.media/monitorynh-internetu/article/198960/2022-05-05-teper-zazhyvem-yak-i-dlya-chogo-rosiya-stvoryla-merezhu-telegram-kanaliv-dlya-okupovanykh-neyu-terytoriy/,Detector Media,Detector Media,DISINFORMATION,https://detector.media/monitorynh-internetu/article/198960/2022-05-05-teper-zazhyvem-yak-i-dlya-chogo-rosiya-stvoryla-merezhu-telegram-kanaliv-dlya-okupovanykh-neyu-terytoriy/,Detector Media,Detector Media,,38670,Отряд Ковпака,https://t.me/otryadkovpaka,148401,Russia,False,REPORTEDLY_STATE_AFFILIATED,Russia,https://detector.media/monitorynh-internetu/article/198960/2022-05-05-teper-zazhyvem-yak-i-dlya-chogo-rosiya-stvoryla-merezhu-telegram-kanaliv-dlya-okupovanykh-neyu-terytoriy/,Detector Media,Detector Media,DISINFORMATION,https://detector.media/monitorynh-internetu/article/198960/2022-05-05-teper-zazhyvem-yak-i-dlya-chogo-rosiya-stvoryla-merezhu-telegram-kanaliv-dlya-okupovanykh-neyu-terytoriy/,Detector Media,Detector Media,
11842710763,2025-11-18T07:51:21+00:00,https://t.me/otryadkovpaka/62096,"РИА Новости: Командование 71-й егерской бригады ВСУ на Сумском направлении начало отправлять женщин в штурмовые отряды — среди них уже появились первые потери. 

☝️С почином! Кто-то должен идти в штуромивики. Мужья, братья, сыновья кончились, а наёмники в штуромики не хотят 🤷

📢 Жинки, не посрамите напудренные ноздри Батькивщину! Умрите гидно!

✅ Поддержать партизан и подпольщиков Отряда Ковпака

#злыерусские 

@otryadkovpaka

💙Отряд Ковпака в ВК
🌐 Отряд Ковпака в ОК 
💬Отряд Ковпака в Телеграме",2506,131,NEUTRAL,-0.14716540277004242,TELEGRAM,POST,38670,Отряд Ковпака,https://t.me/otryadkovpaka,148401,Russia,False,REPORTEDLY_STATE_AFFILIATED,Russia,https://detector.media/monitorynh-internetu/article/198960/2022-05-05-teper-zazhyvem-yak-i-dlya-chogo-rosiya-stvoryla-merezhu-telegram-kanaliv-dlya-okupovanykh-neyu-terytoriy/,Detector Media,Detector Media,DISINFORMATION,https://detector.media/monitorynh-internetu/article/198960/2022-05-05-teper-zazhyvem-yak-i-dlya-chogo-rosiya-stvoryla-merezhu-telegram-kanaliv-dlya-okupovanykh-neyu-terytoriy/,Detector Media,Detector Media,,38670,Отряд Ковпака,https://t.me/otryadkovpaka,148401,Russia,False,REPORTEDLY_STATE_AFFILIATED,Russia,https://detector.media/monitorynh-internetu/article/198960/2022-05-05-teper-zazhyvem-yak-i-dlya-chogo-rosiya-stvoryla-merezhu-telegram-kanaliv-dlya-okupovanykh-neyu-terytoriy/,Detector Media,Detector Media,DISINFORMATION,https://detector.media/monitorynh-internetu/article/198960/2022-05-05-teper-zazhyvem-yak-i-dlya-chogo-rosiya-stvoryla-merezhu-telegram-kanaliv-dlya-okupovanykh-neyu-terytoriy/,Detector Media,Detector Media,,,,,,,,,,,,,,,,,
11841460665,2025-11-18T07:42:00+00:00,https://iz.ru/1992136/2025-11-18/stalo-izvestno-ob-otpravke-zhenshchin-v-shturmovye-podrazdeleniia-vsu-izi,"Озвучить текст Выделить главное Вкл Выкл Командование 71-й отдельной егерской бригады Вооруженных сил Украины (ВСУ) на сумском направлении начало доукомплектовывать штурмовые подразделения военнослужащими-женщинами. Об этом 18 ноября ТАСС сообщили в российских силовых структурах. «На сумском направлении командование 71-й ОЕБр начало доукомплектовывать штурмовые группы на передовой военнослужащими-женщинами. Среди них подтверждены первые потери», — говорится в сообщении. Ранее источники в силовых структурах отмечали, что военные командиры в Харьковской области, столкнувшись с массовым дезертирством, также стали привлекать женщин к выполнению боевых задач. С большим пробегом: почему в украинской армии растет число дезертиров Власти ужесточают наказание за оставление воинской части Секретарь комитета Верховной рады по вопросам национальной безопасности и обороны Роман Костенко в эфире телеканала «Говорит большой Львов» 14 ноября сообщил, что около 80% призванных на службу украинцев покидают учебные центры еще до завершения подготовки, а число уклоняющихся от мобилизации исчисляется миллионами. Он отметил, что в Украине сейчас много проблем, которые требуют решений. Все важные новости — в канале «Известия» в мессенджере МАХ Поделиться: Читайте также readmore.html.twig",0,0,NEUTRAL,-0.025740087032318115,WEB,ARTICLE,227057,iz.ru,https://iz.ru,36400000,Russia,,STATE_OWNED_MEDIA,Russia,https://en.wikipedia.org/wiki/Izvestia,Вікіпедія,Wikipedia,,,,,,227057,iz.ru,https://iz.ru,36400000,Russia,,STATE_OWNED_MEDIA,Russia,https://en.wikipedia.org/wiki/Izvestia,Вікіпедія,Wikipedia,,,,,,,,,,,,,,,,,,,,,
11842106118,2025-11-18T07:33:03+00:00,https://t.me/the_other_ukraina/48150,"ВСУшники затыкают дыры в бригаде женскими телами

Командование 71-й егерской бригады ВСУ на Сумском направлении начало отправлять женщин в штурмовые отряды, сообщает РИА Новости. 

«Командование 71-й отдельной егерской бригады начало доукомплектовывать штурмовые группы на передовой военнослужащими-женщинами. Среди них подтверждены первые потери»,— сказал собеседник агентства.

По данным российских силовиков, командование ВСУ почти полностью потеряло личный состав 71-й егерской бригады в ходе так называемых «мясных штурмов» на Сумском направлении. В связи с этим, для восполнения потерь, было принято решение задействовать женщин.

Сайт ""Другая Украина"" / Telegram / Вконтакте / Центр поддержки Украинцев / Жалоба на ТЦК

🇷🇺""Другая Украина"" теперь в МАХ",1573,60,NEUTRAL,-0.13991519808769226,TELEGRAM,POST,138388535,Другая Украина,https://t.me/the_other_ukraina,108490,Russia,False,REPORTEDLY_STATE_AFFILIATED,Russia,https://ssu.gov.ua/novyny/sbu-zatrymala-u-kyievi-soratnykiv-medvedchuka-yaki-pratsiuvaly-u-proiekti-druhaia-ukrayna,СБУ,The Security Service of Ukraine,DISINFORMATION,https://ssu.gov.ua/novyny/sbu-zatrymala-u-kyievi-soratnykiv-medvedchuka-yaki-pratsiuvaly-u-proiekti-druhaia-ukrayna,СБУ,The Security Service of Ukraine,,138388535,Другая Украина,https://t.me/the_other_ukraina,108490,Russia,False,REPORTEDLY_STATE_AFFILIATED,Russia,https://ssu.gov.ua/novyny/sbu-zatrymala-u-kyievi-soratnykiv-medvedchuka-yaki-pratsiuvaly-u-proiekti-druhaia-ukrayna,СБУ,The Security Service of Ukraine,DISINFORMATION,https://ssu.gov.ua/novyny/sbu-zatrymala-u-kyievi-soratnykiv-medvedchuka-yaki-pratsiuvaly-u-proiekti-druhaia-ukrayna,СБУ,The Security Service of Ukraine,,,,,,,,,,,,,,,,,
11842690091,2025-11-18T07:30:39+00:00,https://t.me/RusNext/188787,"ВСУ на Сумском направлении отправляют женщин в штурмовые отряды

Командование 71-й отдельной егерской бригады ВСУ начало доукомплектовывать штурмовые группы на передовой военнослужащими-женщинами.

https://rusnext.ru/news/17634510041495900",18,0,NEUTRAL,0.07448046654462814,TELEGRAM,POST,89235561,RusNext.ru,https://t.me/RusNext,611,Russia,False,,,,,,DISINFORMATION,https://app.osavul.cloud/narratives/14649,Osavul Threat Intelligence,Osavul Threat Intelligence,,89235561,RusNext.ru,https://t.me/RusNext,611,Russia,False,,,,,,DISINFORMATION,https://app.osavul.cloud/narratives/14649,Osavul Threat Intelligence,Osavul Threat Intelligence,,,,,,,,,,,,,,,,,
11842097903,2025-11-18T07:28:10+00:00,https://t.me/rtnru/792780,"Командование 71-й егерской бригады ВСУ на Сумском направлении отправляет женщин в штурмовые отряды. 
Читать далее (https://russian.rt.com/ussr/news/1560256-zhenschiny-vsu-shturmoviki?utm_source=rss&utm_medium=rss&utm_campaign=RSS)",3,0,NEUTRAL,-0.06105642765760422,TELEGRAM,POST,101639653,RT на русском,https://t.me/rtnru,112,Russia,False,STATE_OWNED_MEDIA,Russia,https://en.wikipedia.org/wiki/RT_(TV_network),Wikipedia,Wikipedia,,,,,,101639653,RT на русском,https://t.me/rtnru,112,Russia,False,STATE_OWNED_MEDIA,Russia,https://en.wikipedia.org/wiki/RT_(TV_network),Wikipedia,Wikipedia,,,,,,,,,,,,,,,,,,,,,
11842097919,2025-11-18T07:28:10+00:00,https://t.me/rtnru/792778,"РИА Новости: женщин из 71-й бригады ВСУ отправили в штурмовики
https://russian.rt.com/ussr/news/1560256-zhenschiny-vsu-shturmoviki?utm_source=rss&utm_medium=rss&utm_campaign=RSS",3,0,NEUTRAL,-0.21732911467552185,TELEGRAM,POST,101639653,RT на русском,https://t.me/rtnru,112,Russia,False,STATE_OWNED_MEDIA,Russia,https://en.wikipedia.org/wiki/RT_(TV_network),Wikipedia,Wikipedia,,,,,,101639653,RT на русском,https://t.me/rtnru,112,Russia,False,STATE_OWNED_MEDIA,Russia,https://en.wikipedia.org/wiki/RT_(TV_network),Wikipedia,Wikipedia,,,,,,,,,,,,,,,,,,,,,
11842358508,2025-11-18T07:17:13+00:00,https://t.me/zpnewsru/188675,"Сводка СВО на утро 18 ноября

▪️Один из ночных ударов ВС РФ пришелся на город Берестин (Красноград) Харьковской области. Для уничтожения цели были задействованы пять ракет комплекса «Искандер-М», и это говорит о чрезвычайной важности объекта, отмечает военный эксперт Владимир Ераносян, допуская несколько версий.

▪️На Сумском направлении из-за высоких потерь среди мужчин-штурмовиков в «мясные штурмы» стали отправлять женские подразделения. 

▪️Фронт ВСУ в Запорожье разваливается на части. ВС РФ атакуют Варваровку, Степногорск, Приморское. Штурмовики приблизились к окраинам Орехова и Гуляйполя. Потери ВСУ в сутки доходят до роты боевиков.

Другие важные события СВО к этому часу — в сводке на АиФ:

Подписывайся на АиФ / Все каналы АиФ / MAX
      
@aifonline",42,1,NEUTRAL,-0.10991354286670685,TELEGRAM,POST,95594745,Лента новостей Запорожья | Z,https://t.me/zpnewsru,1229,Ukraine TOT,False,,,,,,DISINFORMATION,https://app.osavul.cloud/sources/95594745,Osavul Threat Intelligence,Osavul Threat Intelligence,,95594745,Лента новостей Запорожья | Z,https://t.me/zpnewsru,1229,Ukraine TOT,False,,,,,,DISINFORMATION,https://app.osavul.cloud/sources/95594745,Osavul Threat Intelligence,Osavul Threat Intelligence,,,,,,,,,,,,,,,,,
11840786894,2025-11-18T06:47:11+00:00,https://t.me/alternatio/97270,"ВСУ в Сумской области доукомплектовывают штурмовые группы женщинами
https://alternatio.org/events/all/item/156177-vsu-v-sumskoy-oblasti-doukomplektovyvayut-shturmovye-gruppy-zhenschinami

Командование 71-й отдельной егерской бригады ВСУ доукомплектовывает штурмовые группы военнослужащими-женщинами, сообщает ТАСС со ссылкой на источник в российских силовых структурах. «На сумском направлении командование 71-й оебр начало доукомплектовывать штурмовые группы на передовой военнослужащими-женщинами. Среди них подтверждены первые потери», − говорится в сообщении. Ранее в силовых структурах сообщали, что командование бригады ВСУ в Харьковской области из-за массового дезертирства привлекает к выполнению боевых задач военнослужащих-женщин. 23 октября глава совета резервистов Сухопутных войск ВСУ Иван Тимочко сказал, что женщины не должны «прятаться за спинами мужчин», а должны идти служить в украинскую армию. 1 ноября Тимочко заявил, что женщин надо обучать военному делу наравне с мужчинами. Как сообщала уполномоченная кабмина по вопросам гендерной политики Украины Екатерина Левченко, количество женщин, служащих в ВСУ, увеличилось за…",33,0,NEUTRAL,-0.03020334243774414,TELEGRAM,POST,98253938,Alternatio.org,https://t.me/alternatio,911,Russia,False,,,,,,,,,,,98253938,Alternatio.org,https://t.me/alternatio,911,Russia,False,,,,,,,,,,,,,,,,,,,,,,,,,,
